label,cycle number,Capacity/mA.h,Norm_Cap,Cycles Until Fail,20004.453 Re,15829.126 Re,12516.703 Re,9909.4424 Re,7835.48 Re,6217.2461 Re,4905.291 Re,3881.2737 Re,3070.9827 Re,2430.7778 Re,1923.1537 Re,1522.4358 Re,1203.8446 Re,952.86591 Re,754.27557 Re,596.71857 Re,471.96338 Re,373.20856 Re,295.47278 Re,233.87738 Re,185.05922 Re,146.35823 Re,115.77804 Re,91.6721 Re,72.51701 Re,57.36816 Re,45.3629 Re,35.93134 Re,28.40909 Re,22.48202 Re,17.79613 Re,14.06813 Re,11.1448 Re,8.81772 Re,6.97545 Re,5.5173 Re,4.36941 Re,3.45686 Re,2.73547 Re,2.16054 Re,1.70952 Re,1.35352 Re,1.07079 Re,0.84734 Re,0.67072 Re,0.53067 Re,0.41976 Re,0.33183 Re,0.26261 Re,0.20791 Re,0.16452 Re,0.13007 Re,0.10309 Re,0.08153 Re,0.06443 Re,0.05102 Re,0.04042 Re,0.03192 Re,0.02528 Re,0.01999 Re,20004.453 Im,15829.126 Im,12516.703 Im,9909.4424 Im,7835.48 Im,6217.2461 Im,4905.291 Im,3881.2737 Im,3070.9827 Im,2430.7778 Im,1923.1537 Im,1522.4358 Im,1203.8446 Im,952.86591 Im,754.27557 Im,596.71857 Im,471.96338 Im,373.20856 Im,295.47278 Im,233.87738 Im,185.05922 Im,146.35823 Im,115.77804 Im,91.6721 Im,72.51701 Im,57.36816 Im,45.3629 Im,35.93134 Im,28.40909 Im,22.48202 Im,17.79613 Im,14.06813 Im,11.1448 Im,8.81772 Im,6.97545 Im,5.5173 Im,4.36941 Im,3.45686 Im,2.73547 Im,2.16054 Im,1.70952 Im,1.35352 Im,1.07079 Im,0.84734 Im,0.67072 Im,0.53067 Im,0.41976 Im,0.33183 Im,0.26261 Im,0.20791 Im,0.16452 Im,0.13007 Im,0.10309 Im,0.08153 Im,0.06443 Im,0.05102 Im,0.04042 Im,0.03192 Im,0.02528 Im,0.01999 Im,EIS_PCA_1,EIS_PCA_2
25C01,1,37.20271307236226,1.0,117,   0.40128,   0.40688,   0.41389,   0.42152,   0.42905,   0.43713,   0.44521,   0.45474,   0.46409,   0.47501,   0.48606,   0.49649,   0.51111,   0.52632,   0.53933,   0.55746,   0.57236,   0.59134,   0.60918,   0.63093,   0.65029,   0.67590,   0.69864,   0.72353,   0.74722,   0.77304,   0.79911,   0.82734,   0.85575,   0.88723,   0.92296,   0.96422,   1.01137,   1.05973,   1.10842,   1.15873,   1.19753,   1.23630,   1.26771,   1.28978,   1.30868,   1.32340,   1.33478,   1.34312,   1.35144,   1.35827,   1.36509,   1.37083,   1.37575,   1.38160,   1.38933,   1.39846,   1.40736,   1.41726,   1.43098,   1.45383,   1.47690,   1.50222,   1.52895,   1.56999,  -0.02956,  -0.01046,   0.00415,   0.01708,   0.02692,   0.03822,   0.04634,   0.05517,   0.06073,   0.06985,   0.07579,   0.08363,   0.09046,   0.09743,   0.10342,   0.11195,   0.11787,   0.12500,   0.13132,   0.14076,   0.14773,   0.15387,   0.16146,   0.16821,   0.17488,   0.18217,   0.18894,   0.19820,   0.20998,   0.22236,   0.23405,   0.24726,   0.25405,   0.25677,   0.25245,   0.23951,   0.22418,   0.19931,   0.17951,   0.15829,   0.13689,   0.12009,   0.10613,   0.09495,   0.08670,   0.08056,   0.07840,   0.07908,   0.08227,   0.08636,   0.09306,   0.10400,   0.11908,   0.13643,   0.15756,   0.18056,   0.21724,   0.25818,   0.29453,   0.32651,-1.2825767962153638,-0.5045487934214994
25C01,2,36.22303298575675,0.9736664343619255,116,   0.40692,   0.41281,   0.41998,   0.42671,   0.43524,   0.44266,   0.45219,   0.46063,   0.47194,   0.48221,   0.49200,   0.50515,   0.51748,   0.53317,   0.54778,   0.56205,   0.57984,   0.59844,   0.61742,   0.63810,   0.65926,   0.68029,   0.70313,   0.72933,   0.75391,   0.78069,   0.80680,   0.83330,   0.86262,   0.89417,   0.93233,   0.97395,   1.01975,   1.06717,   1.11637,   1.16170,   1.20156,   1.23622,   1.26570,   1.28783,   1.30504,   1.31723,   1.32879,   1.33706,   1.34355,   1.34946,   1.35597,   1.36165,   1.36753,   1.37296,   1.38046,   1.39000,   1.39973,   1.40888,   1.42160,   1.44183,   1.46868,   1.49521,   1.52309,   1.56281,  -0.02814,  -0.01026,   0.00478,   0.01844,   0.02844,   0.03851,   0.04732,   0.05388,   0.06256,   0.06773,   0.07537,   0.08367,   0.09059,   0.09615,   0.10334,   0.11063,   0.11808,   0.12534,   0.13262,   0.14003,   0.14653,   0.15431,   0.16032,   0.16938,   0.17605,   0.18167,   0.18968,   0.19906,   0.20874,   0.22308,   0.23329,   0.24329,   0.25060,   0.25079,   0.24629,   0.22746,   0.21527,   0.19084,   0.17045,   0.14972,   0.12992,   0.11370,   0.10034,   0.09027,   0.08243,   0.07710,   0.07499,   0.07564,   0.07920,   0.08331,   0.08993,   0.10039,   0.11646,   0.13465,   0.15572,   0.17721,   0.20944,   0.24951,   0.28767,   0.31961,-1.3108804643749423,-0.5208378129166554
25C01,3,35.58930074895991,0.9566318639109966,115,   0.40862,   0.41396,   0.42017,   0.42828,   0.43716,   0.44580,   0.45375,   0.46086,   0.47261,   0.48373,   0.49397,   0.50662,   0.52121,   0.53465,   0.55055,   0.56526,   0.58404,   0.60185,   0.62024,   0.64016,   0.66185,   0.68460,   0.70713,   0.73183,   0.75644,   0.78383,   0.80829,   0.83615,   0.86540,   0.89906,   0.93638,   0.97686,   1.02312,   1.07109,   1.12133,   1.16127,   1.20511,   1.23700,   1.26415,   1.28767,   1.30380,   1.31544,   1.32553,   1.33355,   1.34108,   1.34727,   1.35203,   1.35819,   1.36488,   1.37153,   1.37754,   1.38422,   1.39433,   1.40847,   1.42368,   1.43774,   1.45807,   1.49137,   1.53145,   1.57102,  -0.02819,  -0.00928,   0.00424,   0.01845,   0.02858,   0.03966,   0.04745,   0.05547,   0.06269,   0.06960,   0.07666,   0.08278,   0.09252,   0.09699,   0.10307,   0.10944,   0.11748,   0.12563,   0.13300,   0.13963,   0.14791,   0.15486,   0.16082,   0.16690,   0.17500,   0.18106,   0.18997,   0.19897,   0.20950,   0.22151,   0.23372,   0.24315,   0.24984,   0.24922,   0.23935,   0.22867,   0.20850,   0.18920,   0.16588,   0.14546,   0.12685,   0.11131,   0.09874,   0.08749,   0.08102,   0.07695,   0.07440,   0.07386,   0.07710,   0.08360,   0.09250,   0.10259,   0.11413,   0.13146,   0.15514,   0.18231,   0.20856,   0.24028,   0.28301,   0.33405,-1.3106100663951026,-0.5290478381116795
25C01,4,35.10808143432482,0.9436968042098648,114,   0.41045,   0.41559,   0.42220,   0.42891,   0.43902,   0.44718,   0.45487,   0.46574,   0.47457,   0.48529,   0.49603,   0.50900,   0.52196,   0.53576,   0.55147,   0.56729,   0.58369,   0.60216,   0.62136,   0.64096,   0.66230,   0.68551,   0.70788,   0.73310,   0.75757,   0.78468,   0.81106,   0.83705,   0.86866,   0.90184,   0.93852,   0.98195,   1.02602,   1.07511,   1.12158,   1.16709,   1.20440,   1.23861,   1.26589,   1.28461,   1.30143,   1.31411,   1.32296,   1.33078,   1.33714,   1.34418,   1.35049,   1.35603,   1.36052,   1.36628,   1.37388,   1.38308,   1.39156,   1.40141,   1.41541,   1.43818,   1.46322,   1.48875,   1.51587,   1.55742,  -0.02832,  -0.00940,   0.00569,   0.01925,   0.02936,   0.03886,   0.04831,   0.05595,   0.06247,   0.06765,   0.07631,   0.08360,   0.08953,   0.09885,   0.10426,   0.11099,   0.11826,   0.12629,   0.13130,   0.13912,   0.14686,   0.15370,   0.16116,   0.16721,   0.17519,   0.18308,   0.19137,   0.19911,   0.20996,   0.22006,   0.23365,   0.24400,   0.24863,   0.24718,   0.24069,   0.22536,   0.20705,   0.18378,   0.16423,   0.14339,   0.12499,   0.10954,   0.09696,   0.08683,   0.07993,   0.07477,   0.07303,   0.07448,   0.07814,   0.08296,   0.08936,   0.10081,   0.11673,   0.13359,   0.15491,   0.17875,   0.21333,   0.25505,   0.29028,   0.32389,-1.3201183911594843,-0.5419081960700831
25C01,5,34.767280221266,0.934536149383537,113,   0.40910,   0.41626,   0.42349,   0.43104,   0.43894,   0.44569,   0.45601,   0.46498,   0.47589,   0.48454,   0.49740,   0.51121,   0.52298,   0.53671,   0.55180,   0.56872,   0.58426,   0.60227,   0.62240,   0.64223,   0.66364,   0.68664,   0.70943,   0.73365,   0.75921,   0.78654,   0.81153,   0.83993,   0.86791,   0.90175,   0.93913,   0.97989,   1.02423,   1.07313,   1.12470,   1.16233,   1.20581,   1.23575,   1.26238,   1.28310,   1.29968,   1.31084,   1.32073,   1.32902,   1.33586,   1.34142,   1.34648,   1.35298,   1.35951,   1.36541,   1.37175,   1.37823,   1.38798,   1.40152,   1.41711,   1.43120,   1.45360,   1.48869,   1.52896,   1.56787,  -0.02899,  -0.00959,   0.00582,   0.01740,   0.02812,   0.03866,   0.04746,   0.05500,   0.06222,   0.07062,   0.07681,   0.08405,   0.09140,   0.09833,   0.10400,   0.11057,   0.11998,   0.12590,   0.13297,   0.13998,   0.14598,   0.15464,   0.16127,   0.16781,   0.17601,   0.18234,   0.18924,   0.19884,   0.21086,   0.22243,   0.23382,   0.24172,   0.24671,   0.24738,   0.23628,   0.22296,   0.20490,   0.18604,   0.16207,   0.14189,   0.12432,   0.10815,   0.09633,   0.08563,   0.07949,   0.07508,   0.07258,   0.07305,   0.07671,   0.08347,   0.09303,   0.10322,   0.11532,   0.13331,   0.15673,   0.18346,   0.20999,   0.24363,   0.28992,   0.34318,-1.3144426437295391,-0.5524496379384531
25C01,6,34.51914390415908,0.9278663047239748,112,   0.41202,   0.41835,   0.42452,   0.43313,   0.43919,   0.44823,   0.45629,   0.46675,   0.47567,   0.48697,   0.49810,   0.51096,   0.52193,   0.53739,   0.55320,   0.56921,   0.58597,   0.60407,   0.62264,   0.64391,   0.66400,   0.68559,   0.70938,   0.73332,   0.75771,   0.78400,   0.80962,   0.83739,   0.86744,   0.90056,   0.93816,   0.98206,   1.02752,   1.07571,   1.12190,   1.16644,   1.20155,   1.23503,   1.26314,   1.28284,   1.29799,   1.31058,   1.32062,   1.32815,   1.33494,   1.34114,   1.34729,   1.35278,   1.35744,   1.36252,   1.37039,   1.37986,   1.38853,   1.39809,   1.41322,   1.43581,   1.46310,   1.48801,   1.51437,   1.55470,  -0.02776,  -0.01013,   0.00552,   0.01923,   0.02923,   0.03898,   0.04717,   0.05372,   0.06354,   0.07012,   0.07556,   0.08377,   0.09091,   0.09740,   0.10411,   0.11182,   0.11923,   0.12542,   0.13246,   0.13871,   0.14619,   0.15454,   0.16073,   0.16773,   0.17426,   0.18184,   0.18936,   0.19979,   0.21003,   0.22159,   0.23313,   0.24231,   0.24778,   0.24544,   0.23874,   0.22343,   0.20445,   0.18187,   0.16213,   0.14163,   0.12347,   0.10817,   0.09567,   0.08601,   0.07955,   0.07404,   0.07300,   0.07506,   0.07839,   0.08351,   0.09051,   0.10220,   0.11783,   0.13473,   0.15637,   0.18113,   0.21723,   0.25989,   0.29801,   0.33280,-1.317012818470677,-0.5589196446076052
25C01,7,34.31968901831604,0.9225050052548989,111,   0.41294,   0.41840,   0.42598,   0.43270,   0.44156,   0.44927,   0.45793,   0.46625,   0.47704,   0.48704,   0.49809,   0.51073,   0.52128,   0.53648,   0.55248,   0.56715,   0.58440,   0.60231,   0.62039,   0.64225,   0.66312,   0.68497,   0.70875,   0.73335,   0.75602,   0.78216,   0.81039,   0.83840,   0.86669,   0.90025,   0.93866,   0.98088,   1.02624,   1.07456,   1.12332,   1.16447,   1.20501,   1.23399,   1.26162,   1.28418,   1.29828,   1.31008,   1.32024,   1.32807,   1.33459,   1.33991,   1.34587,   1.35224,   1.35831,   1.36398,   1.36910,   1.37692,   1.38737,   1.39941,   1.41308,   1.43006,   1.45835,   1.49269,   1.52431,   1.55672,  -0.02770,  -0.00821,   0.00544,   0.01771,   0.02957,   0.03782,   0.04806,   0.05488,   0.06444,   0.06995,   0.07630,   0.08277,   0.09057,   0.09598,   0.10274,   0.11060,   0.11852,   0.12456,   0.13264,   0.13845,   0.14586,   0.15458,   0.16095,   0.16631,   0.17433,   0.18154,   0.18924,   0.19849,   0.20889,   0.22065,   0.23348,   0.24120,   0.24418,   0.24421,   0.23830,   0.22082,   0.20508,   0.18268,   0.16083,   0.14081,   0.12352,   0.10797,   0.09523,   0.08615,   0.07936,   0.07417,   0.07219,   0.07378,   0.07781,   0.08511,   0.09268,   0.10223,   0.11640,   0.13622,   0.15949,   0.18127,   0.21129,   0.25328,   0.30228,   0.34873,-1.3117466805542453,-0.5638676000134777
25C01,8,34.17658494359931,0.9186584020666211,110,   0.41057,   0.41740,   0.42427,   0.43204,   0.43928,   0.44711,   0.45713,   0.46698,   0.47518,   0.48625,   0.49742,   0.50858,   0.52197,   0.53625,   0.55170,   0.56817,   0.58345,   0.60158,   0.62239,   0.64100,   0.66268,   0.68525,   0.71002,   0.73323,   0.75735,   0.78386,   0.81039,   0.83844,   0.86754,   0.90000,   0.93871,   0.98134,   1.02776,   1.07353,   1.12456,   1.16335,   1.20553,   1.23593,   1.26284,   1.28471,   1.29882,   1.31117,   1.32016,   1.32877,   1.33529,   1.34044,   1.34616,   1.35248,   1.35897,   1.36479,   1.37000,   1.37671,   1.38720,   1.39984,   1.41436,   1.42918,   1.45530,   1.49226,   1.53012,   1.56484,  -0.02852,  -0.01052,   0.00540,   0.01908,   0.02766,   0.03754,   0.04621,   0.05457,   0.06139,   0.07010,   0.07679,   0.08327,   0.09094,   0.09734,   0.10417,   0.11092,   0.11811,   0.12459,   0.13162,   0.14056,   0.14519,   0.15521,   0.16085,   0.16722,   0.17455,   0.18162,   0.18994,   0.19930,   0.20924,   0.22137,   0.23444,   0.24153,   0.24534,   0.24566,   0.23686,   0.21936,   0.20361,   0.18379,   0.16005,   0.14123,   0.12379,   0.10760,   0.09554,   0.08622,   0.07913,   0.07480,   0.07264,   0.07331,   0.07727,   0.08491,   0.09408,   0.10395,   0.11672,   0.13566,   0.15974,   0.18427,   0.21137,   0.24945,   0.29917,   0.35205,-1.3072537020779431,-0.5619937573669669
25C01,9,34.04663311095897,0.9151653279892663,109,   0.41138,   0.41526,   0.42289,   0.43216,   0.43895,   0.44657,   0.45493,   0.46596,   0.47580,   0.48505,   0.49510,   0.50928,   0.52245,   0.53621,   0.55096,   0.56601,   0.58380,   0.60272,   0.62185,   0.64095,   0.66310,   0.68609,   0.70788,   0.73142,   0.75847,   0.78477,   0.81105,   0.83817,   0.86828,   0.90166,   0.93921,   0.98133,   1.02723,   1.07523,   1.12208,   1.16541,   1.20222,   1.23521,   1.26280,   1.28245,   1.29742,   1.30989,   1.31945,   1.32646,   1.33318,   1.33987,   1.34610,   1.35139,   1.35631,   1.36113,   1.36843,   1.37728,   1.38664,   1.39691,   1.41106,   1.43382,   1.46234,   1.48841,   1.51503,   1.55275,  -0.02796,  -0.00859,   0.00494,   0.01723,   0.02778,   0.03909,   0.04704,   0.05405,   0.06188,   0.06801,   0.07598,   0.08228,   0.09012,   0.09751,   0.10405,   0.11251,   0.11824,   0.12419,   0.13152,   0.13922,   0.14652,   0.15205,   0.15925,   0.16698,   0.17417,   0.18064,   0.19096,   0.20020,   0.21002,   0.22276,   0.23174,   0.24211,   0.24638,   0.24332,   0.23745,   0.22101,   0.20444,   0.18046,   0.16065,   0.14070,   0.12327,   0.10726,   0.09465,   0.08505,   0.07898,   0.07417,   0.07288,   0.07485,   0.07939,   0.08432,   0.09147,   0.10278,   0.11832,   0.13639,   0.15869,   0.18281,   0.21872,   0.26274,   0.30470,   0.34106,-1.3134316248318043,-0.5699773327389843
25C01,10,34.1875305046328,0.9189526161206392,108,   0.41429,   0.41993,   0.42662,   0.43550,   0.44374,   0.45117,   0.46025,   0.46946,   0.47836,   0.48829,   0.50035,   0.51163,   0.52564,   0.53921,   0.55264,   0.56892,   0.58575,   0.60209,   0.62144,   0.64110,   0.66206,   0.68477,   0.70814,   0.72997,   0.75351,   0.78140,   0.80767,   0.83294,   0.86500,   0.89615,   0.93438,   0.97547,   1.02049,   1.06832,   1.11585,   1.15539,   1.19560,   1.22726,   1.25127,   1.27217,   1.28752,   1.29851,   1.30815,   1.31588,   1.32308,   1.32904,   1.33356,   1.33817,   1.34470,   1.35124,   1.35785,   1.36497,   1.37515,   1.39028,   1.40752,   1.42282,   1.43910,   1.46703,   1.50682,   1.55019,  -0.02852,  -0.00959,   0.00515,   0.01739,   0.02814,   0.03852,   0.04663,   0.05450,   0.06257,   0.06939,   0.07404,   0.08181,   0.08925,   0.09614,   0.10185,   0.10890,   0.11706,   0.12377,   0.13065,   0.13802,   0.14448,   0.15149,   0.15842,   0.16551,   0.17169,   0.17865,   0.18592,   0.19598,   0.20687,   0.21924,   0.23008,   0.23930,   0.24213,   0.24292,   0.23075,   0.21803,   0.19719,   0.17985,   0.15846,   0.13689,   0.11949,   0.10568,   0.09271,   0.08340,   0.07724,   0.07443,   0.07356,   0.07358,   0.07647,   0.08282,   0.09180,   0.10286,   0.11600,   0.13502,   0.16089,   0.19235,   0.22184,   0.25039,   0.28784,   0.33646,-1.346679226563039,-0.6115294328485433
