label,cycle number,Capacity/mA.h,Norm_Cap,Cycles Until Fail,20004.453 Re,15829.126 Re,12516.703 Re,9909.4424 Re,7835.48 Re,6217.2461 Re,4905.291 Re,3881.2737 Re,3070.9827 Re,2430.7778 Re,1923.1537 Re,1522.4358 Re,1203.8446 Re,952.86591 Re,754.27557 Re,596.71857 Re,471.96338 Re,373.20856 Re,295.47278 Re,233.87738 Re,185.05922 Re,146.35823 Re,115.77804 Re,91.6721 Re,72.51701 Re,57.36816 Re,45.3629 Re,35.93134 Re,28.40909 Re,22.48202 Re,17.79613 Re,14.06813 Re,11.1448 Re,8.81772 Re,6.97545 Re,5.5173 Re,4.36941 Re,3.45686 Re,2.73547 Re,2.16054 Re,1.70952 Re,1.35352 Re,1.07079 Re,0.84734 Re,0.67072 Re,0.53067 Re,0.41976 Re,0.33183 Re,0.26261 Re,0.20791 Re,0.16452 Re,0.13007 Re,0.10309 Re,0.08153 Re,0.06443 Re,0.05102 Re,0.04042 Re,0.03192 Re,0.02528 Re,0.01999 Re,20004.453 Im,15829.126 Im,12516.703 Im,9909.4424 Im,7835.48 Im,6217.2461 Im,4905.291 Im,3881.2737 Im,3070.9827 Im,2430.7778 Im,1923.1537 Im,1522.4358 Im,1203.8446 Im,952.86591 Im,754.27557 Im,596.71857 Im,471.96338 Im,373.20856 Im,295.47278 Im,233.87738 Im,185.05922 Im,146.35823 Im,115.77804 Im,91.6721 Im,72.51701 Im,57.36816 Im,45.3629 Im,35.93134 Im,28.40909 Im,22.48202 Im,17.79613 Im,14.06813 Im,11.1448 Im,8.81772 Im,6.97545 Im,5.5173 Im,4.36941 Im,3.45686 Im,2.73547 Im,2.16054 Im,1.70952 Im,1.35352 Im,1.07079 Im,0.84734 Im,0.67072 Im,0.53067 Im,0.41976 Im,0.33183 Im,0.26261 Im,0.20791 Im,0.16452 Im,0.13007 Im,0.10309 Im,0.08153 Im,0.06443 Im,0.05102 Im,0.04042 Im,0.03192 Im,0.02528 Im,0.01999 Im,EIS_PCA_1,EIS_PCA_2
25C04,1,35.53421917888683,1.0,57,   0.30725,   0.31235,   0.32105,   0.32755,   0.33716,   0.34838,   0.35633,   0.37038,   0.38346,   0.39659,   0.41245,   0.42682,   0.44295,   0.45932,   0.47943,   0.49627,   0.51952,   0.54139,   0.56530,   0.58758,   0.61667,   0.64345,   0.67212,   0.70257,   0.74199,   0.79462,   0.82718,   0.83877,   0.87890,   0.90270,   0.93933,   1.04546,   1.00701,   1.14404,   1.23199,   1.18191,   1.22607,   1.39783,   1.64181,   1.78744,   1.76343,   1.62655,   1.48667,   1.47123,   1.60602,   1.92262,   2.26359,   2.45175,   2.36607,   2.01632,   1.56289,   1.22471,   1.16174,   1.37442,   1.69318,   2.04993,   2.26350,   2.29064,   2.19134,   2.09083,  -0.01731,   0.00309,   0.01731,   0.03067,   0.04150,   0.05468,   0.06346,   0.07359,   0.08230,   0.09108,   0.09831,   0.10880,   0.11459,   0.12517,   0.13347,   0.14344,   0.14901,   0.15985,   0.17536,   0.18714,   0.19916,   0.20260,   0.21614,   0.22995,   0.23190,   0.25119,   0.24819,   0.27826,   0.26485,   0.28593,   0.33592,   0.33932,   0.37380,   0.35108,   0.47563,   0.51915,   0.44107,   0.36225,   0.40301,   0.55830,   0.68725,   0.68251,   0.50312,   0.20380,  -0.06375,  -0.22258,  -0.12610,   0.19485,   0.59704,   0.87105,   0.86606,   0.58257,   0.17578,  -0.15195,  -0.24246,  -0.13683,   0.13250,   0.41814,   0.58702,   0.60853,-1.370299068968709,1.4517713994008796
25C04,2,34.23352049349796,0.9633958838706749,56,   0.31249,   0.31707,   0.32514,   0.33311,   0.34151,   0.35177,   0.36452,   0.37522,   0.38771,   0.40053,   0.41501,   0.43156,   0.44835,   0.46825,   0.48321,   0.50531,   0.52600,   0.54850,   0.57417,   0.60135,   0.62929,   0.65805,   0.69205,   0.72838,   0.75608,   0.77954,   0.81253,   0.87433,   0.88831,   0.93836,   1.00424,   1.00168,   1.09825,   1.06588,   1.19109,   1.34444,   1.33498,   1.31063,   1.37331,   1.55845,   1.81006,   1.99305,   2.00965,   1.84707,   1.61345,   1.38036,   1.33224,   1.52206,   1.87446,   2.21711,   2.37870,   2.27824,   1.97620,   1.65075,   1.49222,   1.50425,   1.66594,   1.85472,   1.99992,   2.10060,  -0.01623,   0.00085,   0.02010,   0.03181,   0.04313,   0.05437,   0.06559,   0.07522,   0.08429,   0.09283,   0.10206,   0.11145,   0.11894,   0.12689,   0.13521,   0.14566,   0.15548,   0.16677,   0.17276,   0.18630,   0.19443,   0.21281,   0.22422,   0.23044,   0.24855,   0.24335,   0.25573,   0.27820,   0.30103,   0.32469,   0.32627,   0.30518,   0.39852,   0.37546,   0.35447,   0.46078,   0.57075,   0.53485,   0.40540,   0.27340,   0.25141,   0.36797,   0.54716,   0.66559,   0.63473,   0.40342,   0.04672,  -0.26755,  -0.37546,  -0.21570,   0.14204,   0.52526,   0.74637,   0.72259,   0.54326,   0.30395,   0.16967,   0.16932,   0.24195,   0.33299,-0.6066578353926411,-1.7698705696195205
25C04,3,33.32803503108719,0.9379138138172324,55,   0.31501,   0.31891,   0.32900,   0.33681,   0.34681,   0.35326,   0.36589,   0.37729,   0.38887,   0.40402,   0.41732,   0.43482,   0.45016,   0.46605,   0.48810,   0.50739,   0.53006,   0.55191,   0.57156,   0.59856,   0.62298,   0.65935,   0.68845,   0.71713,   0.75729,   0.79693,   0.83674,   0.85265,   0.91624,   0.94535,   0.95672,   1.02210,   1.05320,   1.16800,   1.14466,   1.18973,   1.35987,   1.54968,   1.60184,   1.53989,   1.46206,   1.46650,   1.60846,   1.85679,   2.07914,   2.21989,   2.13825,   1.84605,   1.47954,   1.22130,   1.19966,   1.41230,   1.73439,   1.99444,   2.07512,   2.04050,   1.94549,   1.89241,   1.91410,   1.98804,  -0.01613,   0.00084,   0.01794,   0.03181,   0.04307,   0.05530,   0.06733,   0.07527,   0.08494,   0.09029,   0.10042,   0.10953,   0.11680,   0.12528,   0.13537,   0.14449,   0.15248,   0.16117,   0.17393,   0.18298,   0.19556,   0.20151,   0.21142,   0.22391,   0.22976,   0.25872,   0.26764,   0.25676,   0.26994,   0.27508,   0.29369,   0.37350,   0.32119,   0.42131,   0.46722,   0.39669,   0.35365,   0.44320,   0.57768,   0.61242,   0.50351,   0.28563,   0.06253,  -0.04424,   0.00463,   0.23810,   0.52996,   0.71410,   0.66886,   0.40013,   0.04295,  -0.22404,  -0.27399,  -0.11322,   0.10816,   0.31863,   0.41344,   0.41286,   0.38764,   0.38294,0.9682071101843355,1.193906902566411
25C04,4,32.72731222793072,0.9210083402473108,54,   0.31435,   0.32113,   0.32869,   0.33589,   0.34607,   0.35542,   0.36837,   0.38028,   0.39163,   0.40495,   0.42073,   0.43445,   0.45311,   0.47194,   0.48836,   0.50963,   0.53216,   0.55663,   0.57922,   0.60581,   0.63048,   0.66647,   0.69758,   0.73063,   0.77052,   0.78841,   0.82334,   0.87924,   0.91599,   0.96415,   1.00110,   0.98728,   1.11180,   1.09473,   1.14330,   1.30179,   1.44329,   1.43994,   1.39963,   1.41495,   1.54571,   1.77356,   1.99544,   2.09632,   2.03611,   1.78438,   1.46770,   1.26195,   1.27899,   1.51897,   1.85742,   2.12451,   2.19084,   2.06385,   1.89449,   1.75474,   1.73836,   1.81317,   1.91317,   2.01595,  -0.01471,   0.00192,   0.01699,   0.03222,   0.04375,   0.05620,   0.06665,   0.07332,   0.08333,   0.09374,   0.10209,   0.11253,   0.11998,   0.12736,   0.13778,   0.14546,   0.15538,   0.16690,   0.17284,   0.18283,   0.19314,   0.20579,   0.21679,   0.22290,   0.24080,   0.25544,   0.27024,   0.26005,   0.29690,   0.30501,   0.29504,   0.33887,   0.34152,   0.43227,   0.38234,   0.35827,   0.48153,   0.58109,   0.54523,   0.39628,   0.21552,   0.11724,   0.17126,   0.35093,   0.53131,   0.65390,   0.56815,   0.28751,  -0.06274,  -0.30975,  -0.33176,  -0.12713,   0.18435,   0.42849,   0.49929,   0.45219,   0.35832,   0.30487,   0.30458,   0.32978,1.1207162224554816,-1.0722925188987638
25C04,5,32.31167452005597,0.9093115106143776,53,   0.31869,   0.32214,   0.33176,   0.33733,   0.34737,   0.35723,   0.36759,   0.37937,   0.39246,   0.40757,   0.41834,   0.43560,   0.45413,   0.47125,   0.48911,   0.50948,   0.53299,   0.55578,   0.57780,   0.60461,   0.62987,   0.66450,   0.69836,   0.72752,   0.76760,   0.78785,   0.82278,   0.87710,   0.91662,   0.96108,   0.99402,   0.98779,   1.10611,   1.10227,   1.13561,   1.28263,   1.44583,   1.45955,   1.41268,   1.40725,   1.50967,   1.71921,   1.95028,   2.08692,   2.06542,   1.84713,   1.53204,   1.28190,   1.23164,   1.41425,   1.73436,   2.02665,   2.14408,   2.06789,   1.92205,   1.78247,   1.75131,   1.80890,   1.89764,   1.99495,  -0.01532,   0.00267,   0.01919,   0.03095,   0.04404,   0.05483,   0.06562,   0.07409,   0.08304,   0.09228,   0.10216,   0.11051,   0.11943,   0.12785,   0.13719,   0.14291,   0.15512,   0.16535,   0.17313,   0.18148,   0.19272,   0.20528,   0.21545,   0.22102,   0.23672,   0.25639,   0.27071,   0.25707,   0.29280,   0.29822,   0.29082,   0.34623,   0.33310,   0.43654,   0.38904,   0.35023,   0.45440,   0.56952,   0.55559,   0.42024,   0.23223,   0.10440,   0.12207,   0.28359,   0.47222,   0.63544,   0.61022,   0.37938,   0.03730,  -0.24835,  -0.33583,  -0.18948,   0.09261,   0.34904,   0.45015,   0.44072,   0.36772,   0.31847,   0.31444,   0.33439,1.252335468307394,-0.787568335380234
25C04,6,32.22121235891173,0.9067657346487137,52,   0.31824,   0.32014,   0.33075,   0.33820,   0.34582,   0.35609,   0.36809,   0.37961,   0.39199,   0.40708,   0.41939,   0.43602,   0.45224,   0.47008,   0.48864,   0.51021,   0.52845,   0.55127,   0.57923,   0.60293,   0.63239,   0.65603,   0.68640,   0.72430,   0.74923,   0.80011,   0.83177,   0.85812,   0.88450,   0.91356,   0.96649,   1.05006,   1.03713,   1.13222,   1.25989,   1.24124,   1.24341,   1.34907,   1.56082,   1.75542,   1.81352,   1.72017,   1.54839,   1.41768,   1.41555,   1.59246,   1.88579,   2.15383,   2.24872,   2.10615,   1.79091,   1.47374,   1.32294,   1.38482,   1.55860,   1.74874,   1.88218,   1.95890,   2.00764,   2.04844,  -0.01579,   0.00029,   0.01918,   0.03120,   0.04338,   0.05415,   0.06476,   0.07493,   0.08374,   0.09387,   0.10060,   0.10785,   0.11696,   0.12722,   0.13361,   0.14675,   0.15418,   0.16201,   0.17667,   0.18790,   0.19938,   0.20820,   0.22140,   0.23493,   0.24114,   0.23811,   0.24592,   0.28360,   0.27043,   0.29830,   0.34209,   0.31741,   0.39027,   0.33519,   0.41727,   0.51074,   0.45680,   0.35312,   0.30469,   0.38252,   0.51852,   0.59911,   0.54150,   0.33266,   0.07650,  -0.17087,  -0.24030,  -0.08328,   0.23309,   0.55066,   0.70683,   0.62557,   0.38055,   0.14086,   0.04728,   0.06466,   0.15875,   0.26482,   0.35499,   0.42976,-1.4745760087726938,0.44196919247986827
25C04,7,32.06959932462568,0.9024990576880411,51,   0.31806,   0.32295,   0.33169,   0.33993,   0.34756,   0.35708,   0.36993,   0.38111,   0.39430,   0.40741,   0.42130,   0.43688,   0.45366,   0.47142,   0.48743,   0.51186,   0.53008,   0.55158,   0.57991,   0.60624,   0.63436,   0.66137,   0.69377,   0.73059,   0.75691,   0.78836,   0.81961,   0.87393,   0.88543,   0.92909,   0.99819,   1.02221,   1.08145,   1.08676,   1.22603,   1.32579,   1.29271,   1.30470,   1.42231,   1.63877,   1.84330,   1.92123,   1.83181,   1.62603,   1.43570,   1.34077,   1.45496,   1.73462,   2.04925,   2.23392,   2.19023,   1.94909,   1.65886,   1.48693,   1.50097,   1.61933,   1.76742,   1.89081,   1.99248,   2.08525,  -0.01475,   0.00037,   0.01866,   0.03150,   0.04413,   0.05361,   0.06693,   0.07483,   0.08354,   0.09114,   0.10249,   0.11007,   0.12046,   0.12921,   0.13556,   0.14476,   0.15707,   0.16648,   0.17420,   0.18592,   0.19542,   0.21162,   0.22361,   0.23327,   0.24701,   0.23799,   0.24875,   0.28223,   0.29192,   0.31775,   0.33732,   0.30276,   0.40516,   0.35234,   0.35578,   0.48952,   0.53111,   0.45220,   0.32317,   0.25276,   0.31074,   0.45616,   0.58341,   0.58577,   0.44407,   0.14709,  -0.15306,  -0.30483,  -0.22479,   0.05716,   0.39725,   0.62061,   0.62389,   0.45833,   0.29149,   0.17674,   0.16943,   0.22036,   0.29045,   0.37537,-1.1635387896038896,-1.0418461834814081
25C04,8,31.7891650911882,0.894607109027914,50,   0.31977,   0.32184,   0.33085,   0.33962,   0.34940,   0.35860,   0.36969,   0.38308,   0.39373,   0.40502,   0.42078,   0.43839,   0.45377,   0.47095,   0.49018,   0.50900,   0.53295,   0.55516,   0.57697,   0.60085,   0.62971,   0.65945,   0.68968,   0.71769,   0.75622,   0.80461,   0.84534,   0.85175,   0.91154,   0.93814,   0.95312,   1.04601,   1.04158,   1.18251,   1.18757,   1.19172,   1.31157,   1.51927,   1.65314,   1.64442,   1.54533,   1.46147,   1.48408,   1.65090,   1.87447,   2.11843,   2.20559,   2.06295,   1.74383,   1.40815,   1.22989,   1.28182,   1.51114,   1.76268,   1.90197,   1.96085,   1.94898,   1.93218,   1.94488,   1.99003,  -0.01482,   0.00031,   0.01771,   0.03234,   0.04490,   0.05580,   0.06565,   0.07607,   0.08433,   0.09433,   0.10008,   0.11178,   0.11690,   0.12546,   0.13514,   0.14479,   0.15204,   0.16278,   0.17610,   0.18628,   0.20038,   0.20438,   0.21430,   0.22836,   0.23108,   0.25350,   0.26087,   0.26504,   0.26268,   0.27477,   0.30902,   0.36638,   0.33612,   0.38883,   0.48289,   0.43203,   0.35526,   0.36788,   0.48917,   0.59082,   0.57056,   0.41108,   0.16990,  -0.03813,  -0.11157,   0.00521,   0.27850,   0.56562,   0.69824,   0.59638,   0.31707,   0.01585,  -0.14632,  -0.11592,   0.02710,   0.19529,   0.31536,   0.37462,   0.39991,   0.41765,0.17635602179381404,1.4750488159785693
25C04,9,31.60870696270835,0.8895286766703212,49,   0.31825,   0.32228,   0.32974,   0.33903,   0.34844,   0.36022,   0.36731,   0.38168,   0.39398,   0.40586,   0.42286,   0.43869,   0.45356,   0.47113,   0.49299,   0.51006,   0.52960,   0.55275,   0.57763,   0.60236,   0.63189,   0.65842,   0.68796,   0.71945,   0.75378,   0.80712,   0.84384,   0.85346,   0.89925,   0.92541,   0.95584,   1.05927,   1.03119,   1.17072,   1.23948,   1.20557,   1.26713,   1.44604,   1.65157,   1.74057,   1.68703,   1.55480,   1.45424,   1.48142,   1.62760,   1.90483,   2.15228,   2.23348,   2.08112,   1.76157,   1.43789,   1.27707,   1.34346,   1.55061,   1.74230,   1.88882,   1.95270,   1.97651,   1.99495,   2.02533,  -0.01531,   0.00127,   0.01842,   0.03339,   0.04414,   0.05641,   0.06499,   0.07489,   0.08453,   0.09436,   0.09959,   0.11216,   0.11917,   0.12738,   0.13378,   0.14596,   0.15344,   0.16331,   0.17727,   0.18812,   0.20061,   0.20612,   0.21879,   0.23256,   0.23516,   0.24738,   0.25253,   0.27654,   0.26525,   0.28415,   0.33039,   0.34771,   0.36235,   0.35594,   0.47001,   0.47849,   0.39689,   0.33271,   0.38865,   0.51908,   0.59916,   0.54921,   0.35901,   0.09695,  -0.10161,  -0.17216,  -0.02951,   0.27156,   0.56849,   0.70346,   0.60584,   0.34103,   0.07471,  -0.05154,  -0.01197,   0.10319,   0.23339,   0.33244,   0.40012,   0.44492,-0.7910016576842802,1.2933679789688353
25C04,10,31.43520214339108,0.8846459235572217,48,   0.32088,   0.32264,   0.33067,   0.34024,   0.34903,   0.35943,   0.37007,   0.38081,   0.39460,   0.40728,   0.42120,   0.43848,   0.45416,   0.47088,   0.48865,   0.51318,   0.53085,   0.55339,   0.58247,   0.60864,   0.63809,   0.66268,   0.69424,   0.73295,   0.75903,   0.78916,   0.82234,   0.87957,   0.89017,   0.93626,   1.00520,   1.01934,   1.09357,   1.08535,   1.21994,   1.34242,   1.31840,   1.31559,   1.40840,   1.60886,   1.82885,   1.94427,   1.89396,   1.70142,   1.49451,   1.34840,   1.39684,   1.63976,   1.95911,   2.19132,   2.21846,   2.03106,   1.75759,   1.56693,   1.54800,   1.63937,   1.77054,   1.89170,   2.00142,   2.10804,  -0.01592,   0.00273,   0.01712,   0.03101,   0.04589,   0.05479,   0.06619,   0.07540,   0.08418,   0.09296,   0.10215,   0.10924,   0.11935,   0.12863,   0.13684,   0.14567,   0.15679,   0.16631,   0.17537,   0.18658,   0.19703,   0.21289,   0.22377,   0.23325,   0.24806,   0.24228,   0.25269,   0.28340,   0.29691,   0.32314,   0.33370,   0.30462,   0.40164,   0.36154,   0.35247,   0.47549,   0.54376,   0.47568,   0.34441,   0.24606,   0.27307,   0.40698,   0.55407,   0.60186,   0.50453,   0.23989,  -0.07594,  -0.28546,  -0.27380,  -0.04592,   0.28370,   0.54218,   0.60099,   0.48242,   0.33039,   0.21374,   0.19189,   0.22737,   0.28508,   0.36597,-0.9160665608298231,-1.2491887494007825
