label,cycle number,Capacity/mA.h,Norm_Cap,Cycles Until Fail,20004.453 Re,15829.126 Re,12516.703 Re,9909.4424 Re,7835.48 Re,6217.2461 Re,4905.291 Re,3881.2737 Re,3070.9827 Re,2430.7778 Re,1923.1537 Re,1522.4358 Re,1203.8446 Re,952.86591 Re,754.27557 Re,596.71857 Re,471.96338 Re,373.20856 Re,295.47278 Re,233.87738 Re,185.05922 Re,146.35823 Re,115.77804 Re,91.6721 Re,72.51701 Re,57.36816 Re,45.3629 Re,35.93134 Re,28.40909 Re,22.48202 Re,17.79613 Re,14.06813 Re,11.1448 Re,8.81772 Re,6.97545 Re,5.5173 Re,4.36941 Re,3.45686 Re,2.73547 Re,2.16054 Re,1.70952 Re,1.35352 Re,1.07079 Re,0.84734 Re,0.67072 Re,0.53067 Re,0.41976 Re,0.33183 Re,0.26261 Re,0.20791 Re,0.16452 Re,0.13007 Re,0.10309 Re,0.08153 Re,0.06443 Re,0.05102 Re,0.04042 Re,0.03192 Re,0.02528 Re,0.01999 Re,20004.453 Im,15829.126 Im,12516.703 Im,9909.4424 Im,7835.48 Im,6217.2461 Im,4905.291 Im,3881.2737 Im,3070.9827 Im,2430.7778 Im,1923.1537 Im,1522.4358 Im,1203.8446 Im,952.86591 Im,754.27557 Im,596.71857 Im,471.96338 Im,373.20856 Im,295.47278 Im,233.87738 Im,185.05922 Im,146.35823 Im,115.77804 Im,91.6721 Im,72.51701 Im,57.36816 Im,45.3629 Im,35.93134 Im,28.40909 Im,22.48202 Im,17.79613 Im,14.06813 Im,11.1448 Im,8.81772 Im,6.97545 Im,5.5173 Im,4.36941 Im,3.45686 Im,2.73547 Im,2.16054 Im,1.70952 Im,1.35352 Im,1.07079 Im,0.84734 Im,0.67072 Im,0.53067 Im,0.41976 Im,0.33183 Im,0.26261 Im,0.20791 Im,0.16452 Im,0.13007 Im,0.10309 Im,0.08153 Im,0.06443 Im,0.05102 Im,0.04042 Im,0.03192 Im,0.02528 Im,0.01999 Im,EIS_PCA_1,EIS_PCA_2
25C01,1,37.20271307236226,1.0,117,   0.38507,   0.39111,   0.39611,   0.40373,   0.41209,   0.42103,   0.42808,   0.43698,   0.44882,   0.45911,   0.46806,   0.48147,   0.49438,   0.50444,   0.51938,   0.53637,   0.55243,   0.57077,   0.59049,   0.61165,   0.63034,   0.65623,   0.67648,   0.70020,   0.72784,   0.75076,   0.77960,   0.81353,   0.84921,   0.88191,   0.90645,   0.92175,   0.96502,   0.97366,   0.96534,   1.00336,   1.05269,   1.05358,   1.00918,   0.96692,   0.96521,   1.02456,   1.12880,   1.22267,   1.26240,   1.18800,   1.02579,   0.84055,   0.72905,   0.77725,   1.01476,   1.37361,   1.72226,   1.89892,   1.83984,   1.44445,   0.82816,   0.20741,  -0.11252,   0.23799,  -0.03633,  -0.01645,  -0.00079,   0.01287,   0.02413,   0.03620,   0.04434,   0.05192,   0.05979,   0.06765,   0.07432,   0.08092,   0.08854,   0.09383,   0.10009,   0.10796,   0.11335,   0.11946,   0.12536,   0.13115,   0.13805,   0.14368,   0.14915,   0.15253,   0.15876,   0.16957,   0.17640,   0.16728,   0.17338,   0.16512,   0.14907,   0.15479,   0.12151,   0.14025,   0.10686,   0.06186,   0.07340,   0.11097,   0.12278,   0.08150,   0.00714,  -0.05851,  -0.06740,   0.00236,   0.11474,   0.25938,   0.32765,   0.26453,   0.06682,  -0.18985,  -0.38828,  -0.40646,  -0.17906,   0.25345,   0.69968,   1.11668,   1.20363,   0.84828,   0.05934,  -0.91573,-2.9096469556059414,-3.156366894937201
25C01,2,36.22303298575675,0.9736664343619255,116,   0.39021,   0.39470,   0.40142,   0.40914,   0.41743,   0.42285,   0.43044,   0.44251,   0.45135,   0.45987,   0.46832,   0.48120,   0.49652,   0.51110,   0.52492,   0.54212,   0.55925,   0.57608,   0.59626,   0.61644,   0.63726,   0.65947,   0.68374,   0.70688,   0.73305,   0.75346,   0.78129,   0.82134,   0.84977,   0.88509,   0.91972,   0.92826,   0.97944,   0.96639,   0.99226,   1.04408,   1.04936,   1.01283,   0.98379,   1.00166,   1.06950,   1.15386,   1.20678,   1.18425,   1.09745,   0.94885,   0.82894,   0.81855,   0.96365,   1.24020,   1.54716,   1.74446,   1.71671,   1.42751,   1.03328,   0.52571,   0.24861,   0.38046,   1.05651,   2.18692,  -0.03639,  -0.01685,   0.00061,   0.01271,   0.02605,   0.03454,   0.04365,   0.05143,   0.06117,   0.06819,   0.07512,   0.08067,   0.08793,   0.09500,   0.10274,   0.10904,   0.11559,   0.12133,   0.12584,   0.13274,   0.13901,   0.14661,   0.15101,   0.15616,   0.16439,   0.16931,   0.17411,   0.17539,   0.18088,   0.17679,   0.16023,   0.14409,   0.14109,   0.13032,   0.08842,   0.08313,   0.11455,   0.11782,   0.07273,   0.00601,  -0.03434,  -0.01401,   0.06877,   0.17626,   0.24820,   0.24256,   0.11920,  -0.08439,  -0.27467,  -0.34468,  -0.21760,   0.10453,   0.51729,   0.86286,   0.99681,   0.79410,   0.25246,  -0.48774,  -1.12170,  -1.21040,0.7797997430908562,-3.00203819885846
25C01,3,35.58930074895991,0.9566318639109966,115,   0.38921,   0.39597,   0.40447,   0.41016,   0.41606,   0.42671,   0.43295,   0.44224,   0.45217,   0.46305,   0.46968,   0.48233,   0.49677,   0.51221,   0.52778,   0.54455,   0.56147,   0.58015,   0.59685,   0.61893,   0.63904,   0.66246,   0.68696,   0.71082,   0.73449,   0.75505,   0.78523,   0.82501,   0.85451,   0.88986,   0.92425,   0.93050,   0.98342,   0.97147,   0.99325,   1.04531,   1.06120,   1.02670,   0.98954,   0.99509,   1.05574,   1.14639,   1.21499,   1.21429,   1.13897,   0.98778,   0.84504,   0.79774,   0.90833,   1.17537,   1.50591,   1.76748,   1.80338,   1.56877,   1.18928,   0.63834,   0.26675,   0.25614,   0.81755,   1.91474,  -0.03405,  -0.01534,   0.00106,   0.01371,   0.02669,   0.03451,   0.04444,   0.05353,   0.05841,   0.06772,   0.07424,   0.08170,   0.08830,   0.09438,   0.10237,   0.10766,   0.11506,   0.12235,   0.12603,   0.13354,   0.13857,   0.14569,   0.15199,   0.15646,   0.16629,   0.16869,   0.17488,   0.17506,   0.18310,   0.17585,   0.15931,   0.14814,   0.14067,   0.13553,   0.08947,   0.07879,   0.11098,   0.12229,   0.08450,   0.01632,  -0.03617,  -0.03149,   0.04271,   0.15631,   0.24625,   0.26906,   0.16879,  -0.03091,  -0.24765,  -0.36441,  -0.28583,   0.01043,   0.43960,   0.84084,   1.05220,   0.94370,   0.45782,  -0.30115,  -1.03500,  -1.29491,0.29662665550978085,-3.3160520914879976
25C01,4,35.10808143432482,0.9436968042098648,114,   0.39231,   0.39760,   0.40523,   0.41150,   0.41920,   0.42734,   0.43682,   0.44357,   0.45564,   0.46659,   0.47462,   0.48466,   0.49695,   0.51217,   0.52970,   0.54628,   0.56228,   0.58040,   0.60078,   0.62049,   0.64165,   0.66404,   0.68699,   0.71356,   0.73484,   0.76085,   0.78578,   0.82649,   0.84983,   0.88527,   0.92658,   0.94382,   0.97892,   0.97563,   1.02191,   1.05426,   1.02786,   0.99619,   1.00902,   1.07159,   1.14868,   1.18906,   1.15837,   1.05957,   0.94441,   0.85539,   0.88344,   1.04932,   1.30987,   1.56410,   1.67882,   1.57499,   1.25288,   0.82222,   0.49869,   0.38377,   0.68375,   1.41786,   2.44071,   3.27426,  -0.03390,  -0.01403,   0.00024,   0.01413,   0.02707,   0.03541,   0.04527,   0.05213,   0.06033,   0.06805,   0.07488,   0.08099,   0.08849,   0.09559,   0.10217,   0.10848,   0.11726,   0.12177,   0.12850,   0.13596,   0.14018,   0.14641,   0.15512,   0.16046,   0.16773,   0.16720,   0.17199,   0.18025,   0.18206,   0.18189,   0.17159,   0.14090,   0.15483,   0.11507,   0.08833,   0.11293,   0.12570,   0.08741,   0.02392,  -0.01563,   0.00493,   0.08080,   0.17175,   0.22096,   0.19550,   0.06716,  -0.11906,  -0.26825,  -0.28297,  -0.11428,   0.21002,   0.57165,   0.81881,   0.80024,   0.56122,   0.01463,  -0.58183,  -0.98559,  -0.85843,  -0.03832,2.3116263384997904,-0.3601240697713797
25C01,5,34.767280221266,0.934536149383537,113,   0.39396,   0.39928,   0.40565,   0.41294,   0.41923,   0.42717,   0.43592,   0.44498,   0.45081,   0.46258,   0.47349,   0.48787,   0.50312,   0.51645,   0.53095,   0.54794,   0.56508,   0.58227,   0.60205,   0.62150,   0.64298,   0.66475,   0.68862,   0.71379,   0.73718,   0.75986,   0.78743,   0.82657,   0.85499,   0.89303,   0.93063,   0.93897,   0.99164,   0.97788,   1.00471,   1.05719,   1.06578,   1.02835,   0.99884,   1.01539,   1.08317,   1.17100,   1.22567,   1.20265,   1.11850,   0.96611,   0.84116,   0.82518,   0.96927,   1.25844,   1.57481,   1.79401,   1.77784,   1.49424,   1.07721,   0.56788,   0.26407,   0.37326,   1.07176,   2.22005,  -0.03514,  -0.01552,   0.00098,   0.01240,   0.02551,   0.03549,   0.04535,   0.05276,   0.06068,   0.06860,   0.07556,   0.08305,   0.08907,   0.09509,   0.10101,   0.10753,   0.11538,   0.12235,   0.12704,   0.13549,   0.13898,   0.14750,   0.15408,   0.15867,   0.16709,   0.17077,   0.17693,   0.17677,   0.18553,   0.18144,   0.16533,   0.14963,   0.14699,   0.13441,   0.09057,   0.08745,   0.11845,   0.12143,   0.07494,   0.00808,  -0.03502,  -0.01595,   0.06797,   0.17877,   0.25506,   0.25192,   0.13136,  -0.07753,  -0.27886,  -0.36167,  -0.23305,   0.09504,   0.52688,   0.90107,   1.05223,   0.84858,   0.30373,  -0.46268,  -1.11324,  -1.20548,0.786535978754418,-3.0460295167240257
25C01,6,34.51914390415908,0.9278663047239748,112,   0.39374,   0.39845,   0.40675,   0.41337,   0.42005,   0.42815,   0.43721,   0.44482,   0.45602,   0.46599,   0.47627,   0.48493,   0.49828,   0.51355,   0.53119,   0.54831,   0.56350,   0.58150,   0.60215,   0.62161,   0.64344,   0.66365,   0.68743,   0.71026,   0.73223,   0.76690,   0.79528,   0.82108,   0.85203,   0.88109,   0.91528,   0.96318,   0.96151,   1.00697,   1.03941,   1.01977,   1.00080,   1.03446,   1.09988,   1.14547,   1.13498,   1.06527,   0.97435,   0.92145,   0.94041,   1.07359,   1.27827,   1.46156,   1.51761,   1.39279,   1.10965,   0.77960,   0.56198,   0.59780,   0.88709,   1.49900,   2.22398,   2.79654,   2.85905,   2.19796,  -0.03406,  -0.01530,   0.00071,   0.01470,   0.02505,   0.03575,   0.04473,   0.05244,   0.06066,   0.06914,   0.07553,   0.08146,   0.08707,   0.09442,   0.10166,   0.10866,   0.11593,   0.12303,   0.12946,   0.13564,   0.14363,   0.14489,   0.15581,   0.16167,   0.16634,   0.16841,   0.17177,   0.18240,   0.17579,   0.17385,   0.17673,   0.15228,   0.14999,   0.10867,   0.12199,   0.12937,   0.08301,   0.02987,   0.02098,   0.06616,   0.13360,   0.17097,   0.14072,   0.04008,  -0.08186,  -0.19092,  -0.18962,  -0.03897,   0.22234,   0.48725,   0.62495,   0.54265,   0.23541,  -0.19650,  -0.54826,  -0.70662,  -0.44593,   0.27180,   1.29559,   2.15482,-0.711884598944884,3.503917924079189
25C01,7,34.31968901831604,0.9225050052548989,111,   0.39477,   0.40146,   0.40641,   0.41452,   0.42148,   0.42837,   0.43576,   0.44780,   0.45647,   0.46352,   0.47428,   0.48615,   0.50203,   0.51816,   0.53289,   0.54775,   0.56458,   0.58249,   0.60218,   0.62293,   0.64317,   0.66427,   0.68625,   0.71035,   0.73194,   0.76561,   0.79429,   0.82150,   0.84997,   0.87930,   0.91718,   0.96145,   0.96428,   1.00314,   1.04193,   1.02526,   1.00266,   1.02682,   1.08861,   1.14471,   1.14957,   1.09141,   0.99955,   0.92634,   0.91649,   1.01942,   1.21734,   1.42678,   1.54261,   1.48446,   1.23964,   0.89541,   0.60299,   0.52718,   0.70875,   1.26285,   2.01082,   2.73754,   3.04444,   2.61541,  -0.03546,  -0.01459,  -0.00061,   0.01221,   0.02487,   0.03628,   0.04460,   0.05340,   0.06062,   0.06864,   0.07458,   0.08133,   0.08702,   0.09671,   0.10232,   0.10934,   0.11565,   0.12175,   0.12968,   0.13557,   0.14322,   0.14702,   0.15625,   0.16161,   0.16747,   0.16834,   0.17104,   0.18371,   0.17470,   0.17647,   0.17786,   0.15029,   0.15458,   0.10846,   0.11818,   0.13216,   0.09252,   0.03496,   0.01423,   0.04952,   0.11855,   0.17060,   0.16203,   0.07747,  -0.04042,  -0.17438,  -0.21738,  -0.11308,   0.12888,   0.41950,   0.62671,   0.63574,   0.39897,  -0.02434,  -0.41669,  -0.71346,  -0.63599,  -0.06856,   0.92257,   1.95309,0.16142524177846948,3.2670031617007402
25C01,8,34.17658494359931,0.9186584020666211,110,   0.39529,   0.40024,   0.40706,   0.41510,   0.42079,   0.42853,   0.43789,   0.44683,   0.45674,   0.46777,   0.47496,   0.48652,   0.49996,   0.51393,   0.53154,   0.54842,   0.56525,   0.58509,   0.60080,   0.62258,   0.64120,   0.66579,   0.68864,   0.71177,   0.73943,   0.76447,   0.79191,   0.82395,   0.86328,   0.89703,   0.91987,   0.94468,   0.98027,   1.00443,   0.99264,   1.01867,   1.07530,   1.09800,   1.06347,   1.00816,   0.98043,   1.01430,   1.11084,   1.23100,   1.31086,   1.30820,   1.18337,   0.97147,   0.77630,   0.71659,   0.86124,   1.21285,   1.65254,   2.01413,   2.14886,   1.90937,   1.31838,   0.54654,  -0.04766,  -0.03422,  -0.03517,  -0.01536,   0.00269,   0.01250,   0.02291,   0.03484,   0.04414,   0.05348,   0.05991,   0.06748,   0.07453,   0.08116,   0.08860,   0.09413,   0.10245,   0.10756,   0.11505,   0.12083,   0.12740,   0.13272,   0.14023,   0.14523,   0.15223,   0.15749,   0.16250,   0.17564,   0.18195,   0.17263,   0.17866,   0.17021,   0.15831,   0.16874,   0.12650,   0.14933,   0.12240,   0.06998,   0.06388,   0.10337,   0.13288,   0.11406,   0.04395,  -0.04185,  -0.09074,  -0.05898,   0.03940,   0.20790,   0.34887,   0.37234,   0.23465,  -0.03291,  -0.32021,  -0.48340,  -0.39264,  -0.02345,   0.46951,   1.07566,   1.44836,   1.40088,   0.76748,  -0.26886,-4.001852375166709,-2.176466989985709
25C01,9,34.04663311095897,0.9151653279892663,109,   0.39532,   0.40008,   0.40938,   0.41606,   0.42053,   0.42980,   0.43805,   0.44684,   0.45368,   0.46199,   0.47538,   0.48951,   0.50253,   0.51697,   0.53150,   0.54852,   0.56536,   0.58351,   0.60246,   0.62220,   0.64361,   0.66219,   0.68624,   0.71107,   0.73437,   0.75906,   0.78669,   0.82406,   0.84803,   0.88304,   0.92638,   0.94949,   0.98039,   0.98029,   1.02751,   1.05431,   1.02878,   1.00189,   1.01948,   1.08420,   1.15661,   1.18801,   1.14926,   1.04606,   0.93910,   0.86291,   0.90623,   1.08402,   1.34748,   1.59324,   1.68221,   1.54938,   1.20886,   0.78258,   0.48826,   0.41795,   0.76808,   1.55426,   2.57337,   3.34272,  -0.03456,  -0.01661,  -0.00021,   0.01383,   0.02565,   0.03556,   0.04339,   0.05280,   0.06010,   0.06723,   0.07376,   0.08198,   0.08836,   0.09456,   0.10117,   0.10687,   0.11566,   0.11961,   0.12859,   0.13378,   0.14069,   0.14773,   0.15383,   0.15966,   0.16694,   0.16714,   0.17160,   0.18122,   0.18308,   0.18432,   0.17422,   0.14457,   0.15779,   0.11578,   0.09153,   0.11777,   0.12498,   0.08352,   0.02104,  -0.01138,   0.01454,   0.09173,   0.17773,   0.21597,   0.18189,   0.04731,  -0.13532,  -0.27110,  -0.26495,  -0.07551,   0.25862,   0.61308,   0.82338,   0.77377,   0.50474,  -0.05279,  -0.63008,  -0.98192,  -0.76572,   0.12276,2.3455228122843663,-0.030873210382622827
25C01,10,34.1875305046328,0.9189526161206392,108,   0.39634,   0.40166,   0.40896,   0.41528,   0.42365,   0.43030,   0.43847,   0.44660,   0.45774,   0.46638,   0.47617,   0.48736,   0.50295,   0.51827,   0.53120,   0.54800,   0.56606,   0.58385,   0.60109,   0.62279,   0.64228,   0.66409,   0.68673,   0.71008,   0.73708,   0.75723,   0.78748,   0.82504,   0.85540,   0.89298,   0.92699,   0.93533,   0.98848,   0.97794,   0.99564,   1.05107,   1.06880,   1.03632,   0.99782,   1.00113,   1.05876,   1.14891,   1.22340,   1.22897,   1.16122,   1.00981,   0.85806,   0.79698,   0.89792,   1.16112,   1.50378,   1.78408,   1.85140,   1.63983,   1.26766,   0.71307,   0.28516,   0.21921,   0.75836,   1.86164,  -0.03539,  -0.01441,   0.00105,   0.01308,   0.02438,   0.03544,   0.04350,   0.05238,   0.06035,   0.06752,   0.07358,   0.08107,   0.08744,   0.09350,   0.10021,   0.10769,   0.11255,   0.11866,   0.12676,   0.13272,   0.13718,   0.14756,   0.15179,   0.15623,   0.16622,   0.17090,   0.17554,   0.17614,   0.18287,   0.17774,   0.16202,   0.15253,   0.14030,   0.13758,   0.09298,   0.07880,   0.11078,   0.12514,   0.08846,   0.01953,  -0.03547,  -0.03660,   0.03328,   0.14957,   0.24698,   0.28059,   0.19056,  -0.01103,  -0.23855,  -0.37123,  -0.30974,  -0.02397,   0.41212,   0.84309,   1.08284,   1.01285,   0.55389,  -0.20956,  -0.97417,  -1.29766,0.12800030321693534,-3.394770757506484
